dataset,experiment,seed,tag,step,value
august_exp,exp_roberta_large_lr1e-05_drop0.3_epochs2_frozen_roberta,7.0,Test/KL_Div,0,0.3486142158508301
august_exp,exp_roberta_large_lr1e-05_drop0.3_epochs2_frozen_roberta,7.0,Test/Cosine_Sim,0,0.8076325058937073
august_exp,exp_roberta_large_lr1e-05_drop0.3_epochs2_frozen_roberta,7.0,Test/MSE,0,0.02295856550335884
august_exp,exp_roberta_large_lr1e-05_drop0.3_epochs2_frozen_roberta,7.0,Loss/Train,0,0.3563360869884491
august_exp,exp_roberta_large_lr1e-05_drop0.3_epochs2_frozen_roberta,7.0,Loss/Train,1,0.341682106256485
august_exp,exp_roberta_large_lr1e-05_drop0.3_epochs2_frozen_roberta,7.0,Loss/Val_KL_Div,0,0.3495302200317383
august_exp,exp_roberta_large_lr1e-05_drop0.3_epochs2_frozen_roberta,7.0,Loss/Val_KL_Div,1,0.34809738397598267
august_exp,exp_roberta_large_lr1e-05_drop0.3_epochs2_frozen_roberta,7.0,Metrics/Val_Cosine_Sim,0,0.8090910911560059
august_exp,exp_roberta_large_lr1e-05_drop0.3_epochs2_frozen_roberta,7.0,Metrics/Val_Cosine_Sim,1,0.8080810904502869
august_exp,exp_roberta_large_lr1e-05_drop0.3_epochs2_frozen_roberta,7.0,Metrics/Val_MSE,0,0.02307197079062462
august_exp,exp_roberta_large_lr1e-05_drop0.3_epochs2_frozen_roberta,7.0,Metrics/Val_MSE,1,0.023021601140499115
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Test/KL_Div,0,0.33924949169158936
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Test/KL_Div,0,0.3395319879055023
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Test/KL_Div,0,0.3412550985813141
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Test/Cosine_Sim,0,0.8237868547439575
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Test/Cosine_Sim,0,0.8249601125717163
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Test/Cosine_Sim,0,0.8211183547973633
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Test/MSE,0,0.02284066751599312
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Test/MSE,0,0.02278892695903778
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Test/MSE,0,0.022871386259794235
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Loss/Train,0,0.34692153334617615
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Loss/Train,1,0.31078436970710754
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Loss/Train,0,0.3498232066631317
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Loss/Train,1,0.33784762024879456
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Loss/Train,0,0.34709814190864563
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Loss/Train,1,0.2966737449169159
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Loss/Val_KL_Div,0,0.3416818380355835
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Loss/Val_KL_Div,1,0.34201687574386597
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Loss/Val_KL_Div,0,0.3473658263683319
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Loss/Val_KL_Div,1,0.3435157835483551
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Loss/Val_KL_Div,0,0.3413555920124054
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Loss/Val_KL_Div,1,0.3503992557525635
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Metrics/Val_Cosine_Sim,0,0.8126199841499329
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Metrics/Val_Cosine_Sim,1,0.8159793615341187
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Metrics/Val_Cosine_Sim,0,0.8093478679656982
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Metrics/Val_Cosine_Sim,1,0.8147390484809875
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Metrics/Val_Cosine_Sim,0,0.8131455779075623
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Metrics/Val_Cosine_Sim,1,0.8098952174186707
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Metrics/Val_MSE,0,0.022756457328796387
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Metrics/Val_MSE,1,0.02274385280907154
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Metrics/Val_MSE,0,0.023123303428292274
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Metrics/Val_MSE,1,0.022840719670057297
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Metrics/Val_MSE,0,0.022723164409399033
august_exp,exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,42.0,Metrics/Val_MSE,1,0.02330540493130684
august_exp,exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2,42.0,Test/KL_Div,0,0.332606703042984
august_exp,exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2,42.0,Test/Cosine_Sim,0,0.8253309726715088
august_exp,exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2,42.0,Test/MSE,0,0.02210240624845028
august_exp,exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2,42.0,Loss/Train,0,0.3612414300441742
august_exp,exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2,42.0,Loss/Train,1,0.32960307598114014
august_exp,exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2,42.0,Loss/Val_KL_Div,0,0.34665316343307495
august_exp,exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2,42.0,Loss/Val_KL_Div,1,0.3520682752132416
august_exp,exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2,42.0,Metrics/Val_Cosine_Sim,0,0.8131281733512878
august_exp,exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2,42.0,Metrics/Val_Cosine_Sim,1,0.8060691952705383
august_exp,exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2,42.0,Metrics/Val_MSE,0,0.023051097989082336
august_exp,exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2,42.0,Metrics/Val_MSE,1,0.02344924584031105
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Test/KL_Div,0,0.4055859446525574
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Test/Cosine_Sim,0,0.7838282585144043
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Test/MSE,0,0.026768146082758904
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Test/Accuracy,0,0.43401360511779785
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Test/Precision,0,0.3811805248260498
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Test/Recall,0,0.43401360511779785
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Loss/Train,0,0.36898547410964966
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Loss/Train,1,0.2962702512741089
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Loss/Train,2,0.19854669272899628
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Loss/Train,3,0.1478564292192459
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Loss/Train,4,0.11650971323251724
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Loss/Val_KL_Div,0,0.35290244221687317
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Loss/Val_KL_Div,1,0.36774054169654846
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Loss/Val_KL_Div,2,0.40741461515426636
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Loss/Val_KL_Div,3,0.40664681792259216
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Loss/Val_KL_Div,4,0.41165560483932495
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Metrics/Val_Cosine_Sim,0,0.8125754594802856
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Metrics/Val_Cosine_Sim,1,0.7976303100585938
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Metrics/Val_Cosine_Sim,2,0.7820656299591064
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Metrics/Val_Cosine_Sim,3,0.7827287316322327
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Metrics/Val_Cosine_Sim,4,0.7807641625404358
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Metrics/Val_MSE,0,0.023469194769859314
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Metrics/Val_MSE,1,0.024491779506206512
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Metrics/Val_MSE,2,0.0269190464168787
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Metrics/Val_MSE,3,0.02680210769176483
august_exp,exp_only_clip_lr5e-06_drop0.3_epochs5,7.0,Metrics/Val_MSE,4,0.027091357856988907
august_exp,exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs5_both_frozen,7.0,Test/KL_Div,0,0.34216395020484924
august_exp,exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs5_both_frozen,7.0,Test/Cosine_Sim,0,0.8151074051856995
august_exp,exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs5_both_frozen,7.0,Test/MSE,0,0.022501211613416672
august_exp,exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs5_both_frozen,7.0,Loss/Train,0,0.39783862233161926
august_exp,exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs5_both_frozen,7.0,Loss/Train,1,0.34845539927482605
august_exp,exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs5_both_frozen,7.0,Loss/Train,2,0.34197112917900085
august_exp,exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs5_both_frozen,7.0,Loss/Train,3,0.3399375081062317
