conversation_id,predictions_text,cosine_similarity_model_text,kl_divergence_text,mean_squared_error_text,predictions_image,cosine_similarity_model_image,kl_divergence_image,mean_squared_error_image,predictions_multi,cosine_similarity_model_multi,kl_divergence_multi,mean_squared_error_multi
1096448460583260161,"[('anger', 0.15004052221775055), ('sadness', 0.1557484269142151), ('fear', 0.11264725029468536), ('joy', 0.21999822556972504), ('disgust', 0.1748192012310028), ('surprise', 0.18674646317958832)]",0.9463353,0.071572535,0.0035908388,"[('anger', 0.08058871328830719), ('sadness', 0.13657011091709137), ('fear', 0.4240305423736572), ('joy', 0.17746752500534058), ('disgust', 0.07419660687446594), ('surprise', 0.10714657604694366)]",0.6979997,0.2910425,0.02336817,"[('anger', 0.06251640617847443), ('sadness', 0.08936432749032974), ('fear', 0.5329054594039917), ('joy', 0.17172759771347046), ('disgust', 0.05318204686045647), ('surprise', 0.0903041735291481)]",0.57205844,0.46502313,0.040148575
1096541711847833601,"[('anger', 0.18943582475185394), ('sadness', 0.1823122352361679), ('fear', 0.1460602879524231), ('joy', 0.1517951935529709), ('disgust', 0.10217718034982681), ('surprise', 0.22821934521198273)]",0.6615492,0.4385559,0.02925542,"[('anger', 0.08634641021490097), ('sadness', 0.14491531252861023), ('fear', 0.3705908954143524), ('joy', 0.18857717514038086), ('disgust', 0.08995886892080307), ('surprise', 0.11961134523153305)]",0.644016,0.4054398,0.032207273,"[('anger', 0.10931407660245895), ('sadness', 0.17962072789669037), ('fear', 0.26299652457237244), ('joy', 0.2172393649816513), ('disgust', 0.10750769823789597), ('surprise', 0.12332163751125336)]",0.7697023,0.28133047,0.020870915
1095943507779305472,"[('anger', 0.20723669230937958), ('sadness', 0.18717676401138306), ('fear', 0.16095301508903503), ('joy', 0.1431785672903061), ('disgust', 0.09680737555027008), ('surprise', 0.20464760065078735)]",0.64587796,0.56064504,0.03259502,"[('anger', 0.09861933439970016), ('sadness', 0.1667451709508896), ('fear', 0.3423515856266022), ('joy', 0.16563881933689117), ('disgust', 0.0872814729809761), ('surprise', 0.13936355710029602)]",0.8742409,0.24857843,0.0133869015,"[('anger', 0.10328623652458191), ('sadness', 0.18918761610984802), ('fear', 0.2588900327682495), ('joy', 0.2022726982831955), ('disgust', 0.09398546814918518), ('surprise', 0.15237794816493988)]",0.8609804,0.2627264,0.0149890855
1096757339749679104,"[('anger', 0.17028899490833282), ('sadness', 0.20168693363666534), ('fear', 0.16333729028701782), ('joy', 0.1519833356142044), ('disgust', 0.1424226313829422), ('surprise', 0.17028087377548218)]",0.90338135,0.12291183,0.006163328,"[('anger', 0.10613662004470825), ('sadness', 0.26861634850502014), ('fear', 0.15115463733673096), ('joy', 0.15212440490722656), ('disgust', 0.10559310019016266), ('surprise', 0.21637490391731262)]",0.82879543,0.21120822,0.011111612,"[('anger', 0.10246411710977554), ('sadness', 0.22865745425224304), ('fear', 0.19311372935771942), ('joy', 0.17610467970371246), ('disgust', 0.09146862477064133), ('surprise', 0.208191379904747)]",0.8415541,0.20423204,0.010192448
1100430895083868160,"[('anger', 0.19009549915790558), ('sadness', 0.1843825876712799), ('fear', 0.18367663025856018), ('joy', 0.13982728123664856), ('disgust', 0.09924224019050598), ('surprise', 0.2027757316827774)]",0.7882054,0.31875485,0.019081108,"[('anger', 0.0764935314655304), ('sadness', 0.1382933109998703), ('fear', 0.4097159504890442), ('joy', 0.19302016496658325), ('disgust', 0.07932783663272858), ('surprise', 0.10314921289682388)]",0.3868,0.9096939,0.056253206,"[('anger', 0.0958344042301178), ('sadness', 0.174581840634346), ('fear', 0.30474743247032166), ('joy', 0.19773916900157928), ('disgust', 0.10172941535711288), ('surprise', 0.12536777555942535)]",0.51880664,0.7032996,0.040995177
1099993584458219521,"[('anger', 0.14773279428482056), ('sadness', 0.18232131004333496), ('fear', 0.1471066027879715), ('joy', 0.17086763679981232), ('disgust', 0.13302046060562134), ('surprise', 0.21895122528076172)]",0.83717394,0.29280463,0.012791678,"[('anger', 0.11138231307268143), ('sadness', 0.14869092404842377), ('fear', 0.3412691652774811), ('joy', 0.21451415121555328), ('disgust', 0.07565723359584808), ('surprise', 0.10848623514175415)]",0.919131,0.18783186,0.0066292724,"[('anger', 0.08231309056282043), ('sadness', 0.12966588139533997), ('fear', 0.4217330515384674), ('joy', 0.1945413500070572), ('disgust', 0.06733382493257523), ('surprise', 0.10441272705793381)]",0.9207766,0.17314005,0.006747393
1100393577664921600,"[('anger', 0.16050121188163757), ('sadness', 0.1658696085214615), ('fear', 0.1604660153388977), ('joy', 0.19880351424217224), ('disgust', 0.14014241099357605), ('surprise', 0.17421714961528778)]",0.7812469,0.37777278,0.018993575,"[('anger', 0.11035128682851791), ('sadness', 0.2573360204696655), ('fear', 0.17399631440639496), ('joy', 0.21131891012191772), ('disgust', 0.0795293003320694), ('surprise', 0.16746821999549866)]",0.84690666,0.2588103,0.013865917,"[('anger', 0.08770012110471725), ('sadness', 0.2216990739107132), ('fear', 0.2307334542274475), ('joy', 0.19825133681297302), ('disgust', 0.09023357182741165), ('surprise', 0.17138244211673737)]",0.8972932,0.19929105,0.009949246
1099779939354791936,"[('anger', 0.1837833672761917), ('sadness', 0.16009697318077087), ('fear', 0.15627868473529816), ('joy', 0.16112475097179413), ('disgust', 0.12387911230325699), ('surprise', 0.2148369997739792)]",0.7548238,0.32033795,0.018370267,"[('anger', 0.10991169512271881), ('sadness', 0.16173848509788513), ('fear', 0.32917994260787964), ('joy', 0.2019997239112854), ('disgust', 0.08956225961446762), ('surprise', 0.1076078712940216)]",0.96553206,0.07847651,0.0030247415,"[('anger', 0.09394779801368713), ('sadness', 0.24722418189048767), ('fear', 0.2100413739681244), ('joy', 0.19557598233222961), ('disgust', 0.08646735548973083), ('surprise', 0.16674335300922394)]",0.87755334,0.16783918,0.009727126
1098560864758714368,"[('anger', 0.16987615823745728), ('sadness', 0.1614932119846344), ('fear', 0.1653539389371872), ('joy', 0.17284370958805084), ('disgust', 0.14682906866073608), ('surprise', 0.1836039274930954)]",0.6162483,0.7019626,0.047156345,"[('anger', 0.12604840099811554), ('sadness', 0.2017766535282135), ('fear', 0.22609803080558777), ('joy', 0.1773029863834381), ('disgust', 0.10846449434757233), ('surprise', 0.16030938923358917)]",0.64001375,0.6509212,0.04490252,"[('anger', 0.09639231115579605), ('sadness', 0.17046098411083221), ('fear', 0.26607745885849), ('joy', 0.2531159818172455), ('disgust', 0.0947490707039833), ('surprise', 0.11920418590307236)]",0.7806029,0.42803323,0.030872684
1098851263553437696,"[('anger', 0.1348210573196411), ('sadness', 0.13987182080745697), ('fear', 0.11523912847042084), ('joy', 0.2381250113248825), ('disgust', 0.17341509461402893), ('surprise', 0.19852787256240845)]",0.44154498,1.3399438,0.08309746,"[('anger', 0.0730573832988739), ('sadness', 0.11242096871137619), ('fear', 0.47623857855796814), ('joy', 0.15773068368434906), ('disgust', 0.07094604521989822), ('surprise', 0.10960634052753448)]",0.9397501,0.3920286,0.018584087,"[('anger', 0.05585325509309769), ('sadness', 0.08772032707929611), ('fear', 0.5527541041374207), ('joy', 0.16622574627399445), ('disgust', 0.056023117154836655), ('surprise', 0.08142346888780594)]",0.9721891,0.27226487,0.010186043
1096498893855080448,"[('anger', 0.14327611029148102), ('sadness', 0.18519118428230286), ('fear', 0.11081698536872864), ('joy', 0.22944602370262146), ('disgust', 0.1365179419517517), ('surprise', 0.19475170969963074)]",0.8598702,0.1689932,0.0094109615,"[('anger', 0.06804149597883224), ('sadness', 0.15188352763652802), ('fear', 0.3995475471019745), ('joy', 0.19261476397514343), ('disgust', 0.0841260701417923), ('surprise', 0.10378649085760117)]",0.6334113,0.43526047,0.028021026,"[('anger', 0.04931434616446495), ('sadness', 0.10511378943920135), ('fear', 0.5465831160545349), ('joy', 0.16412034630775452), ('disgust', 0.05190422013401985), ('surprise', 0.0829642117023468)]",0.47619057,0.70951194,0.050488204
1098328529836609542,"[('anger', 0.16912348568439484), ('sadness', 0.17726027965545654), ('fear', 0.1371091604232788), ('joy', 0.18687109649181366), ('disgust', 0.11882300674915314), ('surprise', 0.2108130306005478)]",0.37343684,1.6125554,0.120317295,"[('anger', 0.08427407592535019), ('sadness', 0.16873803734779358), ('fear', 0.27258068323135376), ('joy', 0.2317938506603241), ('disgust', 0.10503266006708145), ('surprise', 0.1375807374715805)]",0.66692555,0.97434384,0.08176637,"[('anger', 0.08420096337795258), ('sadness', 0.13136239349842072), ('fear', 0.38957539200782776), ('joy', 0.18826262652873993), ('disgust', 0.08770404011011124), ('surprise', 0.11889457702636719)]",0.8401972,0.6678645,0.054194774
1098762884623069184,"[('anger', 0.15984733402729034), ('sadness', 0.13339586555957794), ('fear', 0.15515446662902832), ('joy', 0.2157537192106247), ('disgust', 0.16685308516025543), ('surprise', 0.16899560391902924)]",0.85475117,0.19734555,0.011235806,"[('anger', 0.07354786992073059), ('sadness', 0.14048095047473907), ('fear', 0.3659273684024811), ('joy', 0.20708194375038147), ('disgust', 0.08296788483858109), ('surprise', 0.1299939751625061)]",0.7311008,0.27401632,0.021369606,"[('anger', 0.06432803720235825), ('sadness', 0.11289279907941818), ('fear', 0.4822489023208618), ('joy', 0.18758995831012726), ('disgust', 0.06184420734643936), ('surprise', 0.09109614044427872)]",0.58860016,0.42699474,0.03765575
1097077351438057472,"[('anger', 0.14365097880363464), ('sadness', 0.16998419165611267), ('fear', 0.10897446423768997), ('joy', 0.20347484946250916), ('disgust', 0.1703471839427948), ('surprise', 0.20356833934783936)]",0.32357058,1.6775692,0.11977346,"[('anger', 0.06810951232910156), ('sadness', 0.10731108486652374), ('fear', 0.4704298973083496), ('joy', 0.1844559609889984), ('disgust', 0.06739091128110886), ('surprise', 0.10230261087417603)]",0.9144937,0.41918784,0.033937015,"[('anger', 0.06665142625570297), ('sadness', 0.0982571691274643), ('fear', 0.5076074600219727), ('joy', 0.17409686744213104), ('disgust', 0.06159406900405884), ('surprise', 0.09179303795099258)]",0.93683624,0.35940123,0.028027143
1098560898443169792,"[('anger', 0.18812532722949982), ('sadness', 0.17938397824764252), ('fear', 0.1395677924156189), ('joy', 0.17499200999736786), ('disgust', 0.12922382354736328), ('surprise', 0.18870705366134644)]",0.8075835,0.24068719,0.01546524,"[('anger', 0.06900756061077118), ('sadness', 0.11169080436229706), ('fear', 0.40451276302337646), ('joy', 0.27457383275032043), ('disgust', 0.06388990581035614), ('surprise', 0.07632511854171753)]",0.4872075,0.67376214,0.045543544,"[('anger', 0.058529455214738846), ('sadness', 0.10481715202331543), ('fear', 0.4503602981567383), ('joy', 0.249331995844841), ('disgust', 0.05422024056315422), ('surprise', 0.08274085819721222)]",0.45177984,0.7238903,0.05082786
1096476569462337536,"[('anger', 0.1839047372341156), ('sadness', 0.18362198770046234), ('fear', 0.14641937613487244), ('joy', 0.17002646625041962), ('disgust', 0.11731328815221786), ('surprise', 0.19871410727500916)]",0.727742,0.52426976,0.030103937,"[('anger', 0.1096530556678772), ('sadness', 0.16607195138931274), ('fear', 0.2535633444786072), ('joy', 0.20538173615932465), ('disgust', 0.09334249049425125), ('surprise', 0.1719873696565628)]",0.6484666,0.60907054,0.036964558,"[('anger', 0.11194205284118652), ('sadness', 0.2801748216152191), ('fear', 0.15069441497325897), ('joy', 0.1710807979106903), ('disgust', 0.09369394183158875), ('surprise', 0.19241398572921753)]",0.83074856,0.3707283,0.020716023
1099344941937876992,"[('anger', 0.15727372467517853), ('sadness', 0.20613539218902588), ('fear', 0.16697731614112854), ('joy', 0.14851848781108856), ('disgust', 0.10801371186971664), ('surprise', 0.21308133006095886)]",0.8343633,0.2296319,0.01351229,"[('anger', 0.08939815312623978), ('sadness', 0.204690083861351), ('fear', 0.22321881353855133), ('joy', 0.2586200535297394), ('disgust', 0.08084698021411896), ('surprise', 0.14322598278522491)]",0.86939883,0.16312581,0.010846804,"[('anger', 0.10370363295078278), ('sadness', 0.26883822679519653), ('fear', 0.14061544835567474), ('joy', 0.18525062501430511), ('disgust', 0.07659822702407837), ('surprise', 0.2249937653541565)]",0.81073415,0.24480943,0.015286859
1096461350337957889,"[('anger', 0.13337014615535736), ('sadness', 0.15968917310237885), ('fear', 0.1491299420595169), ('joy', 0.2156001329421997), ('disgust', 0.1645461469888687), ('surprise', 0.17766445875167847)]",0.88966453,0.12568198,0.007326535,"[('anger', 0.06275011599063873), ('sadness', 0.10149659216403961), ('fear', 0.4843481183052063), ('joy', 0.19723911583423615), ('disgust', 0.05750766396522522), ('surprise', 0.09665839374065399)]",0.6446148,0.4101063,0.031125328,"[('anger', 0.046816807240247726), ('sadness', 0.09148126095533371), ('fear', 0.5557878613471985), ('joy', 0.176667720079422), ('disgust', 0.04999086260795593), ('surprise', 0.07925549149513245)]",0.58417255,0.51992476,0.041438084
1098762172015001602,"[('anger', 0.19382213056087494), ('sadness', 0.18469230830669403), ('fear', 0.13985788822174072), ('joy', 0.157293900847435), ('disgust', 0.1276431679725647), ('surprise', 0.1966906040906906)]",0.8559805,0.27321646,0.011495449,"[('anger', 0.0896129384636879), ('sadness', 0.13702265918254852), ('fear', 0.3230759799480438), ('joy', 0.24656981229782104), ('disgust', 0.08561666309833527), ('surprise', 0.11810196191072464)]",0.50792533,0.7052567,0.038697608,"[('anger', 0.1193620041012764), ('sadness', 0.18288759887218475), ('fear', 0.23047414422035217), ('joy', 0.2375088930130005), ('disgust', 0.09039115160703659), ('surprise', 0.1393761932849884)]",0.6661867,0.5072051,0.02520594
