experiment,Test/Cosine_Sim,Test/KL_Div,Test/MSE,Test/Cosine_Sim_Norm,Test/MSE_Norm,Test/KL_Div_Norm,score
exp_adamw_roberta_large_lr1e-05_drop0.5_bigger_mlp_epochs5_both_frozen,0.8126,0.3363,0.0224,0.8126,0.9776,0.6637,2.4539
exp_adamw_roberta_base_lr5e-06_drop0.3_gelu_epochs2,0.8115,0.337,0.0223,0.8115,0.9777,0.663,2.4522
exp_adamw_roberta_large_lr1e-05_drop0.5_gelu_epochs5_both_frozen,0.8114,0.3385,0.0225,0.8114,0.9775,0.6615,2.4504
exp_adamw_roberta_base_lr5e-06_drop0.5_epochs2_frozen_clip,0.812,0.3393,0.0225,0.812,0.9775,0.6607,2.4502
exp_adamw_roberta_large_lr1e-05_drop0.3_gelu_epochs5_both_frozen,0.811,0.3383,0.0225,0.811,0.9775,0.6617,2.4501
exp_adamw_roberta_base_lr1e-05_drop0.3_epochs2_frozen_clip,0.8119,0.3396,0.0226,0.8119,0.9774,0.6604,2.4497
exp_adamw_roberta_base_lr5e-06_drop0.3_epochs2,0.8103,0.3384,0.0225,0.8103,0.9775,0.6616,2.4494
exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs2,0.8097,0.338,0.0224,0.8097,0.9776,0.662,2.4493
exp_adamw_roberta_large_lr1e-05_drop0.3_bigger_mlp_epochs5_both_frozen,0.8104,0.3387,0.0226,0.8104,0.9774,0.6613,2.4491
exp_adamw_roberta_base_lr1e-05_drop0.3_bigger_mlp_epochs2,0.8111,0.3395,0.0225,0.8111,0.9775,0.6605,2.4491
exp_adamw_roberta_large_lr5e-06_drop0.5_epochs2_frozen_clip,0.8097,0.3383,0.0224,0.8097,0.9776,0.6617,2.4489
exp_adamw_roberta_base_lr5e-06_drop0.5_bigger_mlp_epochs2,0.8094,0.3382,0.0224,0.8094,0.9776,0.6618,2.4487
exp_adamw_roberta_large_lr1e-05_drop0.3_epochs5_both_frozen,0.8106,0.3396,0.0226,0.8106,0.9774,0.6604,2.4485
exp_adamw_roberta_base_lr1e-05_drop0.5_epochs2_frozen_clip,0.8112,0.3401,0.0226,0.8112,0.9774,0.6599,2.4485
exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_clip,0.8114,0.3407,0.0226,0.8114,0.9774,0.6593,2.4481
exp_adamw_roberta_base_lr5e-06_drop0.5_epochs2,0.8098,0.3392,0.0226,0.8098,0.9774,0.6608,2.4481
exp_adamw_roberta_base_lr1e-05_drop0.3_gelu_epochs2,0.8108,0.3402,0.0226,0.8108,0.9774,0.6598,2.448
exp_adamw_roberta_large_lr5e-06_drop0.5_gelu_epochs2,0.8096,0.3391,0.0226,0.8096,0.9774,0.6609,2.448
exp_adamw_roberta_large_lr5e-06_drop0.5_epochs2,0.8085,0.3381,0.0225,0.8085,0.9775,0.6619,2.4479
exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2,0.8111,0.3406,0.0226,0.8111,0.9774,0.6594,2.4479
exp_adamw_roberta_base_lr1e-05_drop0.3_gelu_epochs5_both_frozen,0.8104,0.34,0.0226,0.8104,0.9774,0.66,2.4478
exp_adamw_roberta_large_lr5e-06_drop0.3_gelu_epochs5_both_frozen,0.8101,0.34,0.0226,0.8101,0.9774,0.66,2.4475
exp_roberta_large_lr1e-05_drop0.3_epochs5_both_frozen,0.8106,0.3406,0.0226,0.8106,0.9774,0.6594,2.4474
exp_adamw_roberta_base_lr1e-05_drop0.5_gelu_epochs2,0.8102,0.3404,0.0226,0.8102,0.9774,0.6596,2.4472
exp_roberta_large_lr1e-05_drop0.5_epochs5_both_frozen,0.8105,0.3408,0.0227,0.8105,0.9773,0.6592,2.447
exp_adamw_roberta_base_lr5e-06_drop0.3_epochs2_frozen_clip,0.8101,0.3406,0.0227,0.8101,0.9773,0.6594,2.4468
exp_roberta_base_lr5e-06_drop0.5_epochs2,0.8104,0.341,0.0226,0.8104,0.9774,0.659,2.4468
