,Unnamed: 0,id,conversation_id,created_at,replies,tweet_text,tweet_lang,lang_confidence,reply_emotion_roberta_base,emotion_confidence_roberta_base,reply_emotion_roberta_large,emotion_confidence_roberta_large,reply_emotion_bart,emotion_confidence_bart
7066,7066,1099142075642068992,1099140102616465409,2019-02-23 03:01:06+00:00,the adults putting her and the kids in this spot were jerks however her response of essentially not being able to do or try and get off the lawn is what is wiping out apathetic centrists from the party,"Sen. Dianne Feinstein clashed with children over climate change policy, criticizing their requests that she back the Green New Deal, accusing them of presenting an ultimatum and contrasting their inability to vote with her three decades in office [URL] [URL]",en,0.9070133566856384,anger,0.98367577791214,anger,0.9955814480781556,surprise,0.3228246867656708
1135,1135,1096515259806949378,1096476267866742786,2019-02-15 21:03:04+00:00,it is known to depress iq in those poisoned by it,London's finest have started arresting children for standing up for their future. Where does it lead when the establishment instruct the [USER] to 'kettle' schoolkids who are concerned about climate change & how ineffective the Gov policies actually are. [USER] [URL],en,0.8733810782432556,sadness,0.9727621078491212,sadness,0.9126311540603638,surprise,0.3277598619461059
10374,10374,1100372212794699782,1100154569663733760,2019-02-26 12:29:14+00:00,i think almost everyone has woken up to the fact that it is a load of crap and does not stand up to evenminutes of reasoned skepticism another excuse for raising taxes,"In new Pew Poll, climate change falls to the bottom of concerns voters believe [USER] and Congress should focus on in 2019.It may be the greatest gap between public sentiment and the catastrophic stakes of inaction we’ve seen since the isolationism of the 1930s. [URL]",en,0.8768444061279297,anger,0.9900164008140564,anger,0.992802917957306,pessimism,0.4936753213405609
6969,6969,1099110064735047681,1099095683045429250,2019-02-23 00:53:54+00:00,no carbon taxes in purgatory,hmm i thought i supported doing whatever it takes to avoid cataclysmic climate change but apparently it might be expensive [URL],en,0.9750514030456544,disgust,0.8757981061935425,sadness,0.653516948223114,pessimism,0.5765476822853088
4210,4210,1098006647228706816,1097698843997552641,2019-02-19 23:49:19+00:00,god i thought our opposition in was bad how much worse are the lnp in qld if this dimwit keeps getting elected,"I accept the science of climate change, so does everyone in my govt. I would hope that in the forthcoming federal election campaign, media will ask all candidates whether they accept climate change. [USER] #qldpol [URL]",en,0.8773199915885925,anger,0.9882153272628784,disgust,0.9961180686950684,surprise,0.3648834526538849
2946,2946,1097372834278498304,1096905080475774976,2019-02-18 05:50:46+00:00,oh you humans and your hubris thinking you actually have the capacity to make a dent on this planet those scientists you are so keen on not only made up the definition of their field they make up the rules that everyone else is expected to follow based on spurious models,Today [USER] and I announced the introduction of the Resources Sustainability & Security Act to ensure that New Mexico state agencies prepare for climate change and take action to address the long-term impacts statewide #ActOnClimate [URL],en,0.8164730072021484,anger,0.9871121048927308,disgust,0.99329936504364,disgust,0.3664784431457519
9809,9809,1100206392454115329,1100154569663733760,2019-02-26 01:30:19+00:00,let us see we haveyrs of sketchy data on an earth that has been herebillion yrs or more how is this a statistical reality,"In new Pew Poll, climate change falls to the bottom of concerns voters believe [USER] and Congress should focus on in 2019.It may be the greatest gap between public sentiment and the catastrophic stakes of inaction we’ve seen since the isolationism of the 1930s. [URL]",en,0.8768444061279297,disgust,0.492883950471878,surprise,0.939297616481781,surprise,0.678718090057373
9038,9038,1100109449287602177,1100106473173147648,2019-02-25 19:05:06+00:00,document obtained viaas usual we welcome your support at,"Thread: Met Éireann guidelines for staff on what to say if asked about climate change in the media. If queried about extreme weather events, it is \scientifically correct\"" to say there is an increased risk of such events due to human activities: [URL]",en,0.8998474478721619,joy,0.9683603048324584,joy,0.9343013763427734,joy,0.2255968749523162
663,663,1096460371001593857,1096441942639030273,2019-02-15 17:24:58+00:00,stateless ordered by the united kingdomsets dangerous precedents,Pupils at schools around the UK have gone on strike as part of a global campaign for action on climate change. [USER] asks: would you let your child go on one of these protests? [URL],en,0.8877193927764893,fear,0.9104353785514832,disgust,0.913687825202942,pessimism,0.2719157636165619
2617,2617,1097089067764731904,1097045226823139328,2019-02-17 11:03:11+00:00,nope you are a nutter and you are blocked,#algore you were wrong! #Climatechange is a tool for the globalist for more control and taxes to keep us poor. There should be no #CarbonTax or #emissionstax and no stealth taxes. Voting #AustralianConservatives into the senate is common sense. [URL],en,0.8491311073303223,anger,0.9633244276046752,anger,0.9925099611282348,pessimism,0.3799106478691101
5958,5958,1098495994793218049,1098193699257962496,2019-02-21 08:13:48+00:00,eally upsetting,We're greatly disappointed that the Icelandic fisheries minister announced a new #whaling quota to kill over two thousand fin and minke #whales!At a time when school children are marching against #ClimateChange this decision is morally repugnant.More: [URL] [URL],en,0.8750172257423401,sadness,0.9788215160369872,sadness,0.9895437955856324,surprise,0.4491929709911346
2975,2975,1097402925243138048,1097043285980389377,2019-02-18 07:50:20+00:00,hi lots of good arguments to be made that collective action trumps individual any day i even wrote a trilogy about this,Individual actions to take to reduce #ClimateChange 1. Switch to renewable energy supplier2. Use your car less and/or switch to an electric car3. Eat less meat - consider going vegetarian or vegan4. Stopping flying or if essential try to offset emissions5. #Protest6. #Vote [URL],en,0.967846691608429,optimism,0.9888994097709656,optimism,0.8981290459632874,surprise,0.1614706367254257
1837,1837,1096753537592315904,1096505700363235328,2019-02-16 12:49:54+00:00,hardly a strike if it is outside of school time would exactly have the same impact no they should not and i do not agree with that but that is one example in many many peaceful protests that happened all over the country,Photos from my son and friends at the #schoolstrike4climate #protest in Bristol today - great to see young people rising up to hold government to account! #climatechange #climatebreakdown [URL],en,0.8722204566001892,anger,0.5750613212585449,anger,0.8692213892936707,surprise,0.3033500611782074
1078,1078,1096509021777993732,1096439329289850881,2019-02-15 20:38:17+00:00,next you will tell me they wore shoes,The kid with the Pret plastic water bottle leading the way at the climate change protest. Peak Gen Z [USER] #ClimateStrike [URL],en,0.8300597667694092,disgust,0.5406320095062256,disgust,0.797669529914856,anticipation,0.5728632807731628
8309,8309,1099766821773688832,1099766464188272641,2019-02-24 20:23:37+00:00,I'm fuckin' moving!,"What the rest of the world 🌎 is saying: “The country has experienced 9/10 warmest years on record since 2005, a heat wave in Jan broke records. With Jan bushfires [in] Tas & monsoon flooding in NEQ in Feb, Aus is battling the gamut of extreme weather linked to #climatechange.” [URL]",en,0.8730217218399048,anger,0.8783745765686035,anger,0.993948459625244,optimism,0.2823574244976043
4653,4653,1098093443568545792,1097912551038439430,2019-02-20 05:34:13+00:00,no the physics was settled long ago it states that doubling of atmospheric co level will increase global avg temp c that is not debated how much reinforcing feedbacks like water vapour increase will add to that is debated avg of estimates is another c,"Despite the immediate danger posed by climate change, many middle school and high school teachers lack the training to teach students about it. Our bill will create professional development grants for teachers to ensure students are getting the best education they can. [URL]",en,0.9241491556167604,anticipation,0.5042234659194946,anticipation,0.8361173272132874,pessimism,0.2673639953136444
7076,7076,1099142450810183681,1099140102616465409,2019-02-23 03:02:36+00:00,did cnn just take one of your stories,"Sen. Dianne Feinstein clashed with children over climate change policy, criticizing their requests that she back the Green New Deal, accusing them of presenting an ultimatum and contrasting their inability to vote with her three decades in office [URL] [URL]",en,0.9070133566856384,anticipation,0.5921760201454163,surprise,0.5962994694709778,surprise,0.653438925743103
2567,2567,1097064267482873858,1096399924839804928,2019-02-17 09:24:38+00:00,energ import source was a uk government website you will find it if you look took memins i posted the data with the question of where it is of the remaining not as a fact term global warming was debunked so it changed to climate change which is also debunked,The UK is decarbonising faster than any other G7 country and was the first country in the world to pass a #climatechange act which creates a legal requirement to cut emissions... [URL],en,0.8896403908729553,anticipation,0.3265995681285858,disgust,0.905899941921234,surprise,0.4688551425933838
6941,6941,1099095622689251329,1099058268280741889,2019-02-22 23:56:31+00:00,exactly my point if we were to directly measure amp report progress decline in these areas rather than obsessing over growth in the belief that this generates only positive outcomes better policy decisions would be made amp new systems opportunities generated,"What if I were to tell you that by this time next year we could be well on the way to solving all our problems- from #climatechange to #overpopulation, from #deforestation to #water security... simply by #RedefiningGrowth?Would #you be in? [URL]",en,0.7920796871185303,optimism,0.9335763454437256,optimism,0.9635822772979736,surprise,0.2569928765296936
5986,5986,1098514265848332289,1098502965218947073,2019-02-21 09:26:25+00:00,do and i will bring some inspiration home to our own crew of amazing ladies working in,Opening of #women4climate and [USER] highlighting how women are both the source of untapped skills and expertise to tackle #climatechange but can often also be the most vulnerable to #climate impacts - exactly why it’s so important to include us in solutions! [URL],en,0.8615971207618713,joy,0.9909620881080629,joy,0.9905537962913512,optimism,0.2449286729097366
6265,6265,1098651568147181568,1098642389588160512,2019-02-21 18:32:00+00:00,because of the one team union and two councils we have been saving m a year since and with transformation we are expecting another m pa we are in a position with very few councils whereby we have a more or balanced budget going through foryears,"Not quite as many climate change protests outside Shire Hall as there were yesterday, but we’re expecting a similar result tonight here at #Somerset West and #Taunton Council. #LDReporter #SWAT [URL]",en,0.8428860902786255,anticipation,0.7180944085121155,joy,0.9503589272499084,surprise,0.1957778185606002
933,933,1096492213859729408,1096448428329050112,2019-02-15 19:31:30+00:00,i use the guided buses regularly particularly to from the railway station i am able to walk to the stop easily enough trip to st is good as well this mornings trip was on the b route,This stunt smacks of political agenda. These children are being used to push an anti Tory agenda despite the UK leading the world in decarbonisation.  [URL] via [USER] [USER] [URL],en,0.9114425182342528,joy,0.9504293203353882,joy,0.941354751586914,trust,0.4085258543491363
4424,4424,1098042386599604224,1097912551038439430,2019-02-20 02:11:20+00:00,i also read the peer reviewed research but on nuclear power people have always filed not in my backyard lawsuits that have slowed progress wiki was used as a quick ref to th amend perhaps an admin could try eminent domain but that also stirs up controversy,"Despite the immediate danger posed by climate change, many middle school and high school teachers lack the training to teach students about it. Our bill will create professional development grants for teachers to ensure students are getting the best education they can. [URL]",en,0.9241491556167604,anticipation,0.4509207308292389,anger,0.5674932599067688,anger,0.2112950980663299
7499,7499,1099271575252144128,1097829468645847045,2019-02-23 11:35:41+00:00,climate and corn flakes a song,"To meet aggressive goals for fighting climate change, California wants to wean millions of homes and businesses off natural gas. Efforts appear to be intensifying as officials turn more environmental attention to the buildings sector.via [USER]: [URL] [URL]",en,0.928865373134613,joy,0.7431280612945557,joy,0.8779798150062561,joy,0.8605069518089294
3863,3863,1097940608252022785,1097912551038439430,2019-02-19 19:26:54+00:00,can you tell me where the annual global temperatures are listed i continue to find them as a graph but not as a list also the average temperatures do not or all match is there a reason for that,"Despite the immediate danger posed by climate change, many middle school and high school teachers lack the training to teach students about it. Our bill will create professional development grants for teachers to ensure students are getting the best education they can. [URL]",en,0.9241491556167604,anticipation,0.5225034356117249,anticipation,0.6745020151138306,surprise,0.7160699963569641
6421,6421,1098739334377689088,1097698843997552641,2019-02-22 00:20:45+00:00,the problem with your original statement is the word faith which is not science at all you ignore pure applied facts,"I accept the science of climate change, so does everyone in my govt. I would hope that in the forthcoming federal election campaign, media will ask all candidates whether they accept climate change. [USER] #qldpol [URL]",en,0.8773200511932373,anger,0.978627860546112,anger,0.9698606729507446,surprise,0.4649234414100647
7072,7072,1099142218605039616,1099140102616465409,2019-02-23 03:01:40+00:00,Broken link,"Sen. Dianne Feinstein clashed with children over climate change policy, criticizing their requests that she back the Green New Deal, accusing them of presenting an ultimatum and contrasting their inability to vote with her three decades in office [URL] [URL]",en,0.9070133566856384,sadness,0.7890136241912842,sadness,0.982859194278717,surprise,0.3496260344982147
93,93,1096134643613646850,1095961877459406849,2019-02-14 19:50:38+00:00,what vivid imagery then squashed an orange,"Good moaning apes.Trump Towers after #climatechange has run it's course. It's incredible how water can cover up a pile of crap.A statement from the boss Viking has said there is \No way that cowardly racist sack of cow dung was ever a Viking\"".He then squashed an orange. [URL]",en,0.8866236805915833,anticipation,0.2247282862663269,disgust,0.3073464632034302,surprise,0.6077995300292969
10209,10209,1100304910099177472,1100154569663733760,2019-02-26 08:01:47+00:00,but our supreme said it was not a problem we needed to worry about and with hair like his why should not we believe him,"In new Pew Poll, climate change falls to the bottom of concerns voters believe [USER] and Congress should focus on in 2019.It may be the greatest gap between public sentiment and the catastrophic stakes of inaction we’ve seen since the isolationism of the 1930s. [URL]",en,0.8768444061279297,anger,0.814360499382019,optimism,0.902938187122345,surprise,0.3117223381996155
6245,6245,1098646559829430272,1098642389588160512,2019-02-21 18:12:06+00:00,we have been singularly failed by our national government like many national governments across the world so the responsibility falls to us at a local level there is no time to waste,"Not quite as many climate change protests outside Shire Hall as there were yesterday, but we’re expecting a similar result tonight here at #Somerset West and #Taunton Council. #LDReporter #SWAT [URL]",en,0.8428860902786255,sadness,0.7301627397537231,sadness,0.9769874811172484,pessimism,0.2574809491634369
8958,8958,1100085731480010753,1100084758393114625,2019-02-25 17:30:51+00:00,i hate these people i actually hate them i want them put on trial for ecocide sorry not feeling conciliatory today not after that story broke about the possibility of us losing all low lying cloud cover and the hottest february day ever recorded in the uk,This is a interesting twist to the divestment movement: #ExxonMobil is trying to block investors from demanding that the company have a business model based in reality. 👇🏽[URL] [URL],en,0.8439287543296814,anger,0.9864945411682128,anger,0.996002733707428,anger,0.4132788181304931
2771,2771,1097204278463221760,1097071370171793408,2019-02-17 18:40:59+00:00,am not that so there is also the erroneous conflation of information and knowledge the ability to google something does not transform the ignorant into an expert,"Sums up #Brexit, #ClimateChange, #antivaxxers 🙁 [URL]",en,0.2552453875541687,disgust,0.6656613945960999,disgust,0.8519497513771057,surprise,0.5095824003219604
4423,4423,1098042273281957889,1097698843997552641,2019-02-20 02:10:53+00:00,what a load of crap this is all made up by those who profit from it and keeps all poor people poorer,"I accept the science of climate change, so does everyone in my govt. I would hope that in the forthcoming federal election campaign, media will ask all candidates whether they accept climate change. [USER] #qldpol [URL]",en,0.8773195743560791,anger,0.98847895860672,anger,0.9944063425064088,disgust,0.4806532263755798
9846,9846,1100214421685710848,1100154569663733760,2019-02-26 02:02:13+00:00,as a libertarian i agree with the poll,"In new Pew Poll, climate change falls to the bottom of concerns voters believe [USER] and Congress should focus on in 2019.It may be the greatest gap between public sentiment and the catastrophic stakes of inaction we’ve seen since the isolationism of the 1930s. [URL]",en,0.8768444061279297,optimism,0.885354220867157,optimism,0.8353624939918518,anticipation,0.1575517058372497
9749,9749,1100198788537479169,1100154569663733760,2019-02-26 01:00:06+00:00,until they can not breathe or have dysentery from contaminated water,"In new Pew Poll, climate change falls to the bottom of concerns voters believe [USER] and Congress should focus on in 2019.It may be the greatest gap between public sentiment and the catastrophic stakes of inaction we’ve seen since the isolationism of the 1930s. [URL]",en,0.8768444061279297,disgust,0.9245266318321228,disgust,0.9488246440887452,surprise,0.2577798664569855
10538,10538,1100404065287122951,1100154569663733760,2019-02-26 14:35:48+00:00,hopefully more people thought environment included climate change,"In new Pew Poll, climate change falls to the bottom of concerns voters believe [USER] and Congress should focus on in 2019.It may be the greatest gap between public sentiment and the catastrophic stakes of inaction we’ve seen since the isolationism of the 1930s. [URL]",en,0.8768444061279297,optimism,0.9267458915710448,optimism,0.936129629611969,optimism,0.4963856339454651
12279,12279,1101185820868919297,1101113081218940929,2019-02-28 18:22:13+00:00,pressing issues that people do fall about the way we mangle our recycling bins is a good example of this,"What’s the most pressing environmental issue facing Ireland? In a Red C poll commissioned by the EPA, over a third of adults (37%) say it's #climatechange.  And 61% ranked it in their top three environmental concerns for the country.  See more: [URL] [URL]",en,0.9001128673553467,disgust,0.5952417850494385,disgust,0.940915822982788,anticipation,0.1903632879257202
10855,10855,1100439484389380097,1100410157895315457,2019-02-26 16:56:32+00:00,are we now living in,Ahead in #HotTopics: Alexandria Ocasio-Cortez brings up a “legitimate question” she believes is asked in the wake of climate change and crippling student loan debt: “Is it okay to still have children?” What are your thoughts? Tweet us. [URL],en,0.8483991026878357,fear,0.2801223397254944,anticipation,0.2964184284210205,surprise,0.5341984033584595
6818,6818,1099030803131056128,1098973493172027392,2019-02-22 19:38:57+00:00,look it is one of those global warmers,"One photo sums up the state of the climate scam movement in 2019: A brainwashed kid sits alone in a thick sleeping bag, trying to convince us that it's too warm outside [URL] [URL]",en,0.905247688293457,joy,0.4831084907054901,disgust,0.5009186863899231,optimism,0.8189327716827393
